T_f 	 Mprom 	 M^2prom 	 Eprom 	 E^2prom 	 Chi 	 C 
4.000000 	 0.258943 	 0.072526 	 -1.045168 	 1.094128 	 0.005475 	 0.000110 
4.200000 	 0.233741 	 0.063458 	 -1.035361 	 1.074074 	 0.008823 	 0.000119 
4.400000 	 0.255761 	 0.072212 	 -1.043741 	 1.091346 	 0.006798 	 0.000101 
4.600000 	 0.255797 	 0.076066 	 -1.047717 	 1.100314 	 0.010634 	 0.000123 
4.800000 	 0.232122 	 0.061977 	 -1.033083 	 1.069181 	 0.008097 	 0.000083 
5.000000 	 0.283797 	 0.083975 	 -1.053684 	 1.111983 	 0.003434 	 0.000069 
5.200000 	 0.247685 	 0.069260 	 -1.039569 	 1.082800 	 0.007912 	 0.000078 
5.400000 	 0.275274 	 0.080027 	 -1.049950 	 1.103955 	 0.004251 	 0.000054 
5.600000 	 0.260488 	 0.075809 	 -1.045287 	 1.094780 	 0.007955 	 0.000069 
5.800000 	 0.243881 	 0.068105 	 -1.038594 	 1.080802 	 0.008627 	 0.000063 
6.000000 	 0.277083 	 0.081713 	 -1.051535 	 1.107485 	 0.004938 	 0.000049 
